category,file_path,role,skills,education
HEALTHCARE,data/HEALTHCARE/25451319.pdf,OPERATIONS MANAGER,". 
Able to manage effectively at all levels, strong leadership skills and
strong financial/analytical understandings. Developed and managed monthly and yearly budgets Implemented Total Quality Management (TQM)
and empowered staff to maximize their growth potentials. Profit/loss statements (graphs) to show supervisors (CEO, President) month to month
statements on how each department and/or company was doing, along with recommendations on what should be done to continue or improve on
previous months and trends. Managed multiple sites Program development Hire and terminations of all employees","and decreasing
scheduling conflicts. Decrease loss revenue through billing department Working with customers and payments Educating customers on their
responsibilities to pay Improve employee production Decrease the amount of employee sick time through incentive programs Highly analytical
healthcare management professional combining more than
 
28 years 
of work in healthcare with proficiency in financial management, leadership and
positive clinical outcomes."
HEALTHCARE,data/HEALTHCARE/98309114.pdf,"DIRECTOR, QUALITY IMPROVEMENT NETWORK FACILITATION","Lean/ Six Sigma Improvement methodology, Advanced Analytics, Data Management, process and performance Improvement Planning, Financial
Management, Marketing, Strategic Planning, Gap Analysis, Process Control, Statistical Process Control, Contract Management, Human Resource
Management, Training, Data Entry, Data Validation, Liaison, Statistics, Management, Teaching, Coaching, mentoring.
Computer Literate: Microsoft word, Excel, Power Point, Access, PhotoShop, Microsoft Picture, Visio, Smart Draw VP, SPSS and Statit
statistical programs, Other programs such as: MIDAS, InfoView/Business Object, KPHC, Lotus Note, and EPIC","; providing clinical improvement
guidance and resources. Other activities included, but not limited to, close collaboration with other Quality Improvement Organizations
(QIN) and Institute of Healthcare Improvement (IHI) and maintaining compliance with federal contracting requirements. Managed and
assisted 28 hospitals throughout state of California for performance improvement efforts."
HEALTHCARE,data/HEALTHCARE/23944036.pdf,HEALTHCARE CLINICAL ANALYST,"administrative, budget, Cancer, chemotherapy, Database, DNA, FAST, forms, grant writing, law, marketing, mentor, processes, program
evaluation, quality, quality assurance, QA, recruitment, Research, therapy, venipunctures","12/2005
Florida State College
 
Nursing 
ADN
5/1998
Emory University
 
Health education and Behavioral Research 
Masters of Public Health
5/1995
Harvard University
 
Special Student Program 
5/1994
Emory University
 
Psychology
 
BA
 
GPA: 
Phi Beta Kappa
Publications
Hann, D., Baker, F., Denniston, M., Winter, K (2004). Oncology Professionals' views of complementary 
therapies: a survey of physicians, nurses
and social workers. Cancer Control, 11(6):404-10. Hann, D., Winter, K., Jacobsen, P. (1999). Measurement of depressive symptoms in cancer
patients: evaluation of the Center for Epidemiological Studies Depression Scale (CES-D). Journal of Psychosomatic Research, May 46(5): 437-
43."
HEALTHCARE,data/HEALTHCARE/20748468.pdf,HEALTHCARE ADMINISTRATOR/OPERATIONAL AND STAFF REORG,".
Core Qualifications
Operations management
Staff development
Policy/Program development
HR","Bachelor of Arts
 
, 
Psychology
 
University of Southern California
 
ï¼​ 
City
 
, 
State
Graduated Magna Cum LaudeAssociate of Arts
 
, 
Social Sciences
 
Long Beach City College
 
ï¼​ 
City
 
, 
State
Graduated With Honours"
HEALTHCARE,data/HEALTHCARE/11378657.pdf,HEALTHCARE RECRUITER,"will be
fully utilized. I am team oriented, professional, and focused - I look forward to having an opportunity to discuss what I can contribute to your
team!
Skills
Excellent interpersonal, HR and administrative skills
Intermediate","DIPLOMA
 
: 
Liberal Arts
 
Saint Leo University
 
, 
City
 
, 
State
 
Earned 42 credit hours - general studies Liberal Arts
Princess Anne High School
 
, 
City
 
, 
State"
HEALTHCARE,data/HEALTHCARE/13575312.pdf,PROJECT MANAGER,"Issue resolution
Budgeting
Team oversight
Business artifacts documentation
Project finance
Multi-tasking
Organized
Project planning
Microsoft Office Suite
SQL and databases
Data mapping
Test case scenarios
Quality assurance
Testing plans
Bug tracking
Report delivery","MBA
 
: 
Finance
 
, 
University of Georgia
 
- 
City
 
, 
State
 
Finance
BS
 
: 
Computer Science
 
, 
Spelman College
 
- 
City
 
, 
State
 
Computer Science"
HEALTHCARE,data/HEALTHCARE/19090468.pdf,TECHNICAL IT HEALTHCARE CONSULTANT,"Project Management
 
 
Data Center Migration
System Intergration
 
Cloud Computing Services
Application Integration & Support
Account Management","Bachelor of Science
 
: 
Accounting and Computer Science
 
Georgia State University
 
- 
City
 
, 
State
 
1987
 
Hewlett Packard Corporation 
HP-Unix Training and Support IBM Corporation 
Disaster Recover Certification
 
:Recipient of MathematicÂ Scholarship to Texas Southern University
Technical Certification in IT Technology - Sponsor by Ford Motor Aerospace and Technology Division
 
: 
Programming and Computer Science
Georgia Tech Institute
 
- 
City
 
, 
State
 
1990
 
Technical IT Certification
 
: 
Programming and Technology
 
Georgia Tech Institute
 
- 
City
 
, 
State
 
1992
 
Certifications
Deploy Hadoop Cluster 
. Configuration and Performance Tuning Load Data and Run Application . Monitoring and Troubleshooting Provide
Technical Assistance in Administration and Automation Hardware: IBM Blade Technology, HP Blade, Cisco UCS Blade Technology, Dell
Technology, HP Servers,"
HEALTHCARE,data/HEALTHCARE/18484846.pdf,"DIRECTOR, COMPOUNDING SALES SPECIALIST","administrative functions, basic, benefits, charts, clerical, CRM, client, clients, firing, focus, forms, insurance, inventory, Issue receipts, Excel,
money, Microsoft Office, PowerPoint, PowerPoint presentations, Word, nursing, organizational, patient care, Observe patients, policies, pricing,
promotion, recruitment, relationship building, reporting, selling, Sales, staffing, telephones, typewriter","High School Diploma
 
: 
May 1971
 
GRIFFITHVILLE HIGH SCHOOL
 
ï¼​ 
City
 
, 
State
Physical Education/Math
 
, 
May 1977
 
HARDING COLLEGE
 
ï¼​ 
City
 
, 
State
 
Physical Education/Math
BAPTIST SCHOOL OF NURSING
 
ï¼​ 
City
 
, 
State
Aug 1978
 
L.P.N"
HEALTHCARE,data/HEALTHCARE/37374340.pdf,Rachael Lobdell,"Confidential data protection
Data entry
Scheduling clients for evaluations for Managed Long Term Care
Intake and Submission of Medicaid applications for clients
Intake and submission of Pool Trust for Long Term Care clients
Excellent Communication skills
Excellent Typing skills
Catering and Party planning
Activity planning
20 years","al, and medical records, consultation with other professionals, and diagnostic evaluations to
assess clients' abilities, needs, and eligibility for services.
Conversed with people from different cultures daily, providing high level of respect and patience with each interaction.
Processed benefits applications, including documents for food stamps and medical assistance.
Conducted interviews with applicants, explaining benefits process and which programs were available.
Collected necessary data to complete and submit Medicaid applications and Pool Trust.
Recognized by management for providing exceptional customer service.
Analyzed accuracy and completeness of patient documents such as insurance claims, medical bills and legal paperwork.
Helped patients understand care, coverage and payment responsibilities and rights.
Provided knowledgeable and compassionate service in response to all types of patient questions and concerns.
Gathered and analyzed patient information to determine special program eligibility.
Demonstrated leadership by making improvements to work processes and helping to train others.
Performed site evaluations, customer surveys and team audits.
Kept team on track by assigning and supervising their activities and giving constructive feedback.
Helped clients stay happy and healthy by providing mental and emotional support.
Improved patient outlook and daily living through compassionate care.
Organized games and other activities to engage clients and offer mental stimulation.
Company Name
 
City
 
, 
State
 
Administrator
 
08/2008
 
to 
04/2014
Developed and implemented policies and procedures for 
Licensed Home care Agency
Audited Patient Charts
Hired Employees
Met with Physicians and State workers on a Quarterly basis For QA meetings.
Organized activities to reward employees and motivate performance improvements.
Facilitated communication between departments, management and customers to resolve issues and achieve performance targets.
Handled all billing and payroll for clients and employees
Scheduled Home Health Aides to Patients
Established successful program by creating master schedules and overseeing staff professional development.
Grew revenue by developing key programs focused on promoting business.
Medicaid billing
Medicaid Exemption code"
HEALTHCARE,data/HEALTHCARE/17963031.pdf,SYSTEM ADMINISTRATOR/ASSISTANT SUPERVISOR,"Active Directory, Air Force, basic, BI, business processes, Database Management, database, FSA, Functional, GUI, Instruction, JAVA, Local
Area Network, LAN, Logistics, Managing, materials, access, Microsoft Certified, Microsoft Certified Systems Engineer, MCSE, Windows,
2000, enterprise, Network, Networks, organizational, policies, Program Management, Relational Databases, Risk Assessment, Standard
Operation Procedure, SOP, Supervisor, Systems Analysis and Design, system integration, technician, telephones, troubleshooting, UNIX, Video,
Vista, XML","al materials for customers and contact information if customers needed physician assistance.
12/1999
 
to 
07/2000
Clinical Research Associate
 
Company Name
Responsible for developing, documenting, advocating, and implementing integrated medical system concepts for the BMT division.
Program lead for four pharmaceutical companies and hospital clinical trials.
Lead on data integration within the BMT division.
Developed and maintained a records database with study patients' information.Identified, Reported and provided recommendations to the BMT staff regarding the clinical studies.
Responsibilities included patient contact to inform them of procedures and side effects, follow up with a physician.
Established effective working relationship with persons from different organizational levels.
12/1997
 
to 
12/1999
Company Name
Responsible for developing, documenting, advocating, and implementing integrated medical system concepts for the BMT division.
Program lead for four pharmaceutical companies and hospital clinical trials.
Lead on data integration within the BMT division.
Developed and maintained a records database with study patients' information.
Identified, Reported and provided recommendations to the BMT staff regarding the clinical studies.
Responsibilities included patient contact to inform them of procedures and side effects, follow up with a physician.
Established effective working relationship with persons from different organizational levels.
United Healthcare.
ROHO Incorporated.
Education and Training
Masters
 
: 
Information Management
 
Webster University
 
ï¼​ 
City
 
, 
State
 
Information Management
Bachelor of Science
 
: 
Health Education
 
Southern Illinois University
 
ï¼​ 
City
 
, 
State
 
Health Education
May 2004
Master of Arts
 
: 
Computer Resource and Information Management
 
Webster University
 
Computer Resource and Information Management
Coursework; Program Management' Systems Analysis and Design, Database Management, Security
 
: 
Business Administration
 
Business
Administration
1996
Bachelor of Arts
 
: 
Community Health Education
 
Southern Illinois University Edwardsville IL
 
Community Health Education
1993
Associate of Science
 
Southwestern Illinois Community College
May 2004
Microsoft Certified Systems Engeneer MCSE (Microsoft Certified Systems Engineer) Certification
 
Managing and Maintaining a Windows Server
2003 Environment Implementing, Managing, and Maintaining a Windows Server 2003 Network Infrastructure
May 2004
Security + Certification"
